Paper ID|Type|Authors|Title
1|0|Garrett Stanley, Christopher Rozell, Daniel Millard|Coding consequences of activity propagation from sensory and artificial neural stimulation.
2|0|Aldis Weible, Alexandra Moore, Christine Liu, Michael Wehr|Auditory cortex mediates perceptual gap detection.
3|0|Andrew Leifer, Frederick Shipley, Christopher Clark, Mark Alkema|Simultaneous optogenetic manipulation and calcium imaging in freely moving C. elegans.
4|0|Michael Avery, Jonathan Nassi, John Reynolds|Modeling optogenetic manipulation of neural circuits in macaque visual cortex.
5|0|James Jeanne, Rachel Wilson|Amplification of synchrony in the Drosophila antennal lobe.
6|0|Guang-Yu Robert Yang, Hyojung Seo, Xiao-Jing Wang, Daeyeol Lee|Effects of temporal information on perceptual decision making.
7|0|Jan Clemens, Cyrille Girardin, Pip Coen, Barry Dickson, Mala Murthy|Neural computations in the auditory system of fruit flies from sensory coding to behavior.
8|0|Kristofer Bouchard, Jason Wittenbach, Michael Brainard, Dezhe Jin|Adaptation in an auditory-motor feedback loop contributes to generating repeated vocal sequences.
9|0|Eduardo Izquierdo, Paul L. Williams , Randall D. Beer|Information flow through a sensorimotor circuit: Spatial orientation in C. elegans.
10|0|Min Xu, Siyu Zhang, Yang Dan|Basal forebrain mechanisms of sleep-wake regulation.
11|0|Dan Rokni, Vivian Hemmelder, Vikrant Kapoor, Venkatesh Murthy|An olfactory cocktail party - Detection of single odorants within mixtures in rodents.
12|0|Wei Ji Ma, Shan Shen|Optimality, not simplicity governs visual decision-making.
13|0|Francisco Luongo, Meryl Horn, Vikaas Sohal|Changes in prefrontal circuit organization increase repetitive network activity in models of autism.
14|0|R Becket Ebitz, Eddy Albarran, Alireza Soltani, Tirin Moore|Attention and uncertainty during reward contingency learning.
15|0|Nuwan de Silva, Wei Ji Ma|The optimal allocation of attentional resource.
16|0|Mohammadjavad Faraji, Kerstin Preuschoff, Wulfram Gerstner|Surprise-based learning: neuromodulation by surprise in multi-factor-learning-rules.
17|0|Daniel Baldauf, Robert Desimone|Neural mechanisms of object-based attention.
18|0|Adam Gifford, Yale Cohen, Alan Stocker|Characterizing the impact of category uncertainty on human auditory categorization behavior.
19|0|Feryal Mehraban Pour Behbahani, Aldo Faisal|Visual categorization reflects second order generative statistics.
20|0|Thiago Gouvea, Tiago Monteiro, Joe Paton|Continuous psychometric-neurometric comparison in a perceptual decision making task.
21|0|Kaushik Lakshminarasimhan, Sheng Liu, Eliana Klier, Yong Gu, Gregory C. DeAngelis, Xaq Pitkow, Dora E. Angelaki|Dissecting the contributions of area MSTd and VIP to heading perception.
22|0|Tsuyoshi Nihonsugi, Masahiko Haruno|Computational model-based tDCS selectively enhances guilt-aversion based prosocial behavior.
23|0|Gowan Tervo, Mikhail Proskurin, Maxim Manakov, Mayank Kabra, Alison Vollmer, Kristin Branson, Alla Karpova|Stochastic behavior in rats and its gating by the medial prefrontal cortex.
24|0|Chunyu Duan, Jeffrey Erlich, Katherine Fitch, Carlos Brody|The role of rat medial prefrontal cortex and superior colliculus in a rapid rule-switching task.
25|0|Adam Calhoun, Sreekanth Chalasani, Tatyana Sharpee|Information-theoretic basis of making decisions in the absence of new stimuli.
26|0|Yul Kang, Michael Shadlen|Humans categorize two visual features of a single object sequentially.
27|0|David Barack, Jean-Francois Gariepy, Michael Platt|Expected information signals in the posterior cingulate cortex.
28|0|Ethan Bromberg-Martin, Okihide Hikosaka|Ventral pallidum neurons signal an information-induced bias in handling reward uncertainty.
29|0|Federico Carnevale, Omri Barak, Victor de Lafuente, Ranulfo Romo, Nestor Parga|On the neural dynamics of perceptual decision-making under temporal uncertainty.
30|0|Laurence Hunt, Ray Dolan, Timothy Behrens|Hierarchical competitions subserving multi-attribute choice.
31|0|Nicholas Franklin, Michael Frank|A Bayesian perspective on flexibly responding to stochastic and non-stationary tasks: a role for str.
32|0|Robbe Goris, Roozbeh Kiani|Graded representation of evidence accumulation and decision outcome in lateral intraparietal cortex.
33|0|Kenway Louie, Ryan Webb, Paul Glimcher|Adaptive value coding and the optimality of choice.
34|0|Paul Masset, Joshua Sanders, Justin Kinney, Adam Kepecs|An ideal observer solution for a perceptual decision making task.
35|0|Jeffrey Cockburn, Michael Frank|Probing for patterns: Blending reward and information in a non-stationary POMDP.
36|0|Luigi Acerbi, Sethu Vijayakumar, Daniel Wolpert|Probing the sources of suboptimality in human Bayesian inference.
37|0|Vassilios Christopoulos, Paul Schrater|Neural computations underlying dynamic decisions with disparate value types.
38|0|Manisha Bhardwaj, Sam Carroll, Wei Ji Ma, Kresimir Josic|Visual decisions in the presence of stimulus and measurement correlations.
39|0|Ralf Haefner, Jozsef Fiser|Good noise or bad noise? The role of correlated variability in a probabilistic inference framework.
40|0|Jan Drugowitsch, Valentin Wyart, Etienne Koechlin|The origin and structure of behavioral variability in perceptual decision-making.
41|0|Yoshiaki Ko, Megan Peters, Hakwan Lau|Human intracranial electrophysiology supports a heuristic model of perceptual confidence.
42|0|Jeff Orchard, Rafal Bogacz|Decision-making networks using spiking neurons.
43|0|Yin Li, Matthew Nassar, Joshua Gold|Activity of the anterior and posterior cingulate cortex during adaptive learning.
44|0|Eunjeong Lee, Moonsang Seo, Olga Dal Monte, Bruno Averbeck|Effects of D2R blockage in the dorsal striatum on perceptual inference and reinforcement learning.
45|0|Jan Kubanek, Lawrence Snyder|Effector-specific decision-making in the parietal cortex.
46|0|David Hawellek, Yan Wong, Bijan Pesaran|Low frequency modulation of the beta rhythm during movement selection in posterior parietal cortex.
47|0|Rei Akaishi, Nils Kolling, Matthew Rushworth|Neural mechanism of active learning based on hypothesis testing.
48|0|Joshua Sanders, Balazs Hangya, Adam Kepecs|The human sense of confidence obeys properties of a statistical confidence variable.
49|0|Rodrigo Salazar, Nicolas Dotson, Charles Gray|Fronto-parietal correlated discharges vary with performance during cognitive set shifting.
50|0|Rich Pang, Adrienne Fairhall|Data-driven algorithms for learning state dynamics in natural decision-making behaviors.
51|0|Erez Simony, Chris Honey , Janice Chen, Uri Hasson|Uncovering stimulus-induced network dynamics during narrative comprehension.
52|0|Helen Barron, Raymond Dolan, Timothy Behrens|Measuring memory formation in the human brain using cross stimulus suppression.
53|0|Sam Carroll, Kresimir Josic, Zachary Kilpatrick|Encoding Certainty in Bump Attractors.
54|0|John Murray, Nicholas Roy, Ranulfo Romo, Christos Constantinidis, Alberto Bernacchia, Xiao-Jing Wang|Stable population coding for working memory in prefrontal cortex.
55|0|Vahid Esmaeili, Arash Fassihi, Athena Akrami, Mathew Diamond|Parametric working memory in rats: sensory vs. Prefrontal cortex.
56|0|Alessandro Ticchi, Aldo Faisal|Bayes optimal spike adaptation predicts biophysical characteristics of neurons.
57|0|James Kunert, Eli Shlizerman, J. Nathan Kutz|Low-dimensional functionality of connectome dynamics: Neuro-sensory integration in C. elegans.
58|0|Marius Pachitariu, Maneesh Sahani, Nicholas Lesica|Low-dimensional dynamics underlie auditory cortex responses for different brain states and stimuli.
59|0|Lei Jin, Bardia Behabadi, Bartlett W. Mel|The dimensionality of dendritic computation.
60|0|Shamim Nemati, Scott Linderman, Zhe Chen|A probabilistic modeling approach for uncovering neural population rotational dynamics.
61|0|Wieland Brendel, Dmitry Kobak, Ranulfo Romo, Claudia Feierstein, Zachary Mainen, Christian Machens|Orthogonal representation of tasks parameters in higher cortical areas.
