Paper ID|Type|Authors|Title
25|0 - Talk|Christine Constantinople, Randy Bruno|Thalamic drive of deep cortical layers
39|0 - Talk|Mel Win Khaw, Nathaniel Daw|Evidence for Decision by Sampling in Reinforcement Learning
46|0 - Talk|RIchard Hahnloser, Nicolas  Giret, J?rgen Kornfeld, Surya Ganguli|Evidence for a causal inverse model in an avian song learning circuit 
47|0 - Talk|Jan Drugowitsch, Valentin Wyart, Etienne Koechlin|Inference rather than selection noise explains behavioral variability in perceptual decision-making
64|0 - Talk|Limor Freifeld, Damon Clark, Helen Yang, Mark Horowitz, Thomas Clandinin|Lateral Interactions Tune the Early Stages of Visual Processing in Drosophila
114|0 - Talk|Balazs Ujfalussy, Mate Lengyel|Feed-forward inhibition in hippocampal microcircuits: adaptation to spike-based computation
116|0 - Talk|Cheng-Hang Liu|Conditioned interval timing in V1 by optogenetically hijacking basal forebrain inputs
118|0 - Talk|Mathieu Schiess, Robert Urbanczik, Walter Senn|Triple-spike-dependent synaptic plasticity in active dendrites implements error-backpropagation
121|0 - Talk|Dmitry Rinberg, Admir Resulaj, Jingji Zhang, Thomas Bozza|Multiple perceptible signals from a  single olfactory glomerulus
156|0 - Talk|Nestor  Parga, Federico  Carnevale, Victor de Lafuente, Ranulfo Romo|On the role of neural correlations in decision-making tasks
159|0 - Talk|Ralph Bourdoukan, David Barrett, Christian Machens, Sophie Deneve|Spiking Networks Learning to Balance Excitation and Inhibition Develop an Optimal Representation.
164|0 - Talk|Arnulf Graf, Richard Andersen|Learning to infer eye movement plans from populations of intraparietal neurons
168|0 - Talk|Kenway Louie, Mel Win Khaw, Paul Glimcher|Neural variability and normalization drive biphasic context-dependence in decision-making
180|0 - Talk|Daniel Acuna, Max Berniker, Hugo Fernandes, Konrad Kording|An investigation of how prior beliefs influence decision-making under uncertainty in a 2AFC task
203|0 - Talk|Matjaz Jogan, Alan Stocker|Visual speed information is optimally combined across different spatiotemporal frequency channels
212|0 - Talk|Charles Cadieu, Elias Issa, James DiCarlo|A neural encoding model of area PL, the earliest face selective region in monkey IT
215|0 - Talk|Ari Rosenberg, Dora Angelaki|Neural correlates of visual orientation constancy
225|0 - Talk|Mark Histed, John Maunsell|The cortical network can sum inputs linearly to guide behavioral decisions
230|0 - Talk|Eftychios Pnevmatikakis, Timothy Machado, Logan Grosenick, Ben Poole, Joshua Vogelstein, Liam Paninski|Rank-penalized nonnegative spatiotemporal deconvolution and demixing of calcium imaging data
240|0 - Talk|Emilio Salinas, Gabriela Costello, Dantong Zhu, Terrence Stanford|Saccadic Choices without Attentional Selection during an Urgent-Decision Task
260|0 - Talk|Stephanie Jones, Christopher Moore|A proposed role for non-lemniscal thalamus in cortical beta rhythms: from mechanism to meaning 
267|0 - Talk|Ruben Coen-Cagli, Odelia Schwartz|The impact on mid-level vision of statistically optimal V1 surround normalization
270|0 - Talk|Ashok Litwin-Kumar, Brent Doiron|Formation and maintenance of multistability in clustered, balanced neuronal networks
293|0 - Talk|Charles Hass, Juan Angueyra, Zachary Lindbloom-Brown, Fred Rieke, Gregory Horwitz|Chromatic detection from cone photoreceptors to individual V1 neurons to behavior in rhesus monkeys
299|0 - Talk|Gabriela Mochol, Shuzo Sakata, Alfonso Renart, Liad Hollender, Kenneth Harris, Jaime de la Rocha|The dynamics of auditory-evoked response variability and co-variability across different brain state
368|0 - Talk|Ann Kennedy, Gregory Wayne, Patrick Kaifosh, Karina Alvina, Larry Abbott, Nathaniel B. Sawtell|Temporal basis for predicting sensory consequences of motor commands in a cerebellum-like structure
390|0 - Talk|Guillaume Lajoie, Kevin K. Lin, Eric Shea-Brown|Structured chaos and spike responses in stimulus-driven networks
391|0 - Talk|Petr Znamenskiy, Qiaojie Xiong, Anthony Zador|Stimulus-response associations shape corticostriatal connections in an auditory discrimination task
406|0 - Talk|Misha Ahrens, Kuo-Hua Huang, Drew Robson, Jennifer Li, Michael Orger, Alexander Schier, Ruben Portugues, Florian Engert|Whole-brain neuronal dynamics during virtual navigation and motor learning in zebrafish
